,labels,comments
448,ham,"I also have the replica patek watches,  500EUR, who need ?"
449,ham,"so this is for the chinese fakers, how to make an 1:1 watch"
450,ham,The big question is whether or not it keeps good time.
451,ham,Where are you by this watch ??
452,ham,Just give me the 500-dollar replica and 60.000-dollar sports car that comes with it...
453,ham,It is so easy to avoid fake watches: Have the ones they don't make fakes of :-)
454,ham,"movement-wise the difference is quite loud, to me"
455,ham,60000 euro mistake? no ma'am.
456,ham,Hi Jenni.  Please could you direct me to a secure site where I may buy the Nautilus super clone that you examined?
457,ham,Sooo where did you get the replica?
458,ham,with that variation in price...does it mean the replica of the replica would be around 5$?
459,ham,This is bad!
460,ham,Made in China 2020
461,ham,so where the link ? 👀👀👀
462,ham,"The fact that Chinese brands can produce watches significantly cheaper speaks to the outrageous markups of high end Swiss watches.  However, a copy is a copy.  A Chinese watch, no matter how well done. Is not and never will be Swiss."
463,ham,Whe ré i can purchase a fake one 🤣🤣🤣
464,ham,That means then $60k watch only worth about $500 if you really think of it.
465,ham,Where do you get your fake Patek from? Asking for a friend ! :)
466,ham,"The angles on the top and bottom of the authentic ""E"" are much sharper than the fake, not sure what she meant by ""inconclusive."" Perhaps to the naked eye, but not magnified"
467,ham,Replica looks more appealing
468,ham,ill be fine with the replica
469,ham,where did you buy this watch?
470,ham,"the differences are so slight and the price difference so enormous, that if you really like the style buy the replica.imho"
471,ham,Replica makers take notes!!
472,ham,"They look like identical twins to me.
 Well I can't even afford the fake ones..."
473,ham,Who stole the video you or the German guy 😅
474,ham,Hi @Jenni_Elle_ Thanks for your videos. Where can I get this Replica 5711? Thx.
475,ham,"so why don't they just make a watch brand that produces nice watches for 500?
A lot of people in the comment section need to adjust the moral compass slightly. 
 If you want one because of the prestige of the name brand and want to be seen in it, but think 60k is a ripoff, that is the sense of self important wanna be baller attitude that allows these counterfeits to exist in the first place.  Buy a Seiko or a Tissot."
476,ham,audio volume is too low
477,ham,Nowdays a lot of rich people buy high end replicas because is like wearing the real deal without risking your life and if don’t work anymore you can but another one so big win for replicas
478,ham,I wish luxury brands made all those imperfections and charged $1-2k for their watches.
479,ham,"Why are the watches not even synchronised? Dude, if you're not gonna synch the second hands, at least synch the dates🤦‍♂️"
480,ham,Where can I get the replica ???
481,ham,So just change the jewels ?
482,ham,This is also basically a RIP Off version of Watchfinders videos 😂😂
483,ham,These high end watches are smoke and mirrors for the most part.  The want you to believe that the amount of work involved justifies the asking price which isn't true!
484,ham,Nicely done.
485,ham,You just give the replica master input to clear the gaps....or beyond the gaps...
486,ham,I'm proud of myself! I spotted the fake right away :)
487,ham,"The main aspect this shows is how the Patek can just never be 60k of value. That watch was way overpriced when one was sold slightly above 10k€ a decade ago.
60k just shows 2 things: investors dont bother whats left behind once they are done and whoever bought one in the last 5 years has lost all relation to money and value way before the purchase."
488,ham,Its a big scam the replica watches are manufactured in swiss only the some commision are given to original factory ones
489,ham,Никто не увидит разницы. Только под микроскопом. Так что надо брать подделку: качество хорошее
490,ham,Where can i buy the fake one from?
491,ham,The way u put the images are very Watchfinder & Co. copied I think
492,ham,"easy, if the guy get outs from a rolls royce phantom"
493,ham,"Gosh, this is very worrisome. I couldn’t tell the difference and without a reference piece I feel most folk would be fooled. As you state the  reputation of the seller is key.
Thank you Jenni"
494,ham,Grüße an Karl Ess.
495,ham,You st0le the Video. At least credit my boy kai
496,ham,the sticking-out crown gives it away.
497,ham,It's a pretty good fake but I'd rather spend a few hundred on a cool modern style watch; or a vintage watch thoroughly overhauled by a well-regarded watchmaker.
498,ham,Where do I buy this super clone???
499,ham,Before watching. I think left is fake 😁
500,ham,Can i buy that 500  💶 watch from you ? Leave the rest
501,ham,T’es française ?
502,ham,Where can we get this beautiful replica ?
503,ham,I am waiting for one of these channels to mess up and use the fake one as a base comparison to the real one.
504,ham,I want that knock off
505,ham,Solution: just get the spring drive. No imitations exist (the Swiss have tried) :-)
506,ham,"I had never seen this watch, but I’d take the one in the left"
507,ham,Where can I buy this super clone?
508,ham,TIMEGRAPHER.
509,ham,Une loupe et il n'y a plus personne!!!
510,ham,"Great! This video is perfect. I can't recall any blogger making content on Real vs Fake PP. What do you think is the next ""super fake"" to hit the market?"
511,ham,You can't tell them apart. Why would anyone buy the so called real?
512,ham,Where can I buy one? The fake I mean. Thanks 🙏
513,ham,That is one ugly watch for 60k euro 😂😂😂 I would much rather get something at least the little bit exciting
514,ham,"i wish when people do these videos about super clones, they'd put the thing on a timegrapher. the watch might look good, but I have seen a video where they put one on the timegrapher and it was performing horribly."
515,ham,Even though I am sure your intentions are good but such videos will still inevitably end up promoting such counterfeit watches. :/
516,ham,Where I can buy it?
517,ham,"Where do you buy one ,thanks"
518,ham,Прикольно
519,ham,Those little boy nails need some TLC.
520,ham,"A replica that can’t even get the dial color right isn't so ""high end,"" IMO."
521,ham,Its all made in China you pay for the name of the brand not for the quality
522,ham,"I think the left one is the original, right one replica."
523,ham,"Those that can afford a 60K watch doesn't buy them on the streets or dodgy websites, those that pay 500$ know what they buying, there's no rip offs here...."
524,ham,Mad girl reviver checks the amount difference also
525,ham,95 % of buyers do it knowingly because they'll never have the money to buy the real thing .
526,ham,I've heard that rolex refuses to make exhibition back watches because the original idea to do so wasn't theirs.....? It's a shame they cover up those beautiful movements with a steel plate.....
527,ham,ugliest watch ever
528,ham,"If you want, Xiaomi can make the best watch in the world for just 50 euros. Just ask them"
529,ham,watch industry is a total scam
530,ham,Proves that every buyer of the original was screwed over real good.
531,ham,"Its really easy to avoid these issues.  Pay the premium, go to the AD.  You really want to gamble 60+k to save a few thousand dollars?  Nah, give me the box, papers and knowledge its 1,000,000% real.  If you buy one of these on the secondary market and get burned its your fault for being cheap."
532,ham,The dial looks grey not blue! Check your color temp. next time!
533,ham,Why buy the original one?
534,ham,"Okay so  tbh    the knockoff  one seem like a good value at first  , but it's not  it costs 500. Plus all the wasted lives and the suffering of the workers ( minors too) laboring away most of the 24 hrs  of the day and night  for next to literally nothing ,now you knowingly want be the cause of their suffering  , go ahead  but don't ever kid yourself about what it actually costs"
535,ham,"who else thinks, watch makers are scared of losing new buyers so they use youtube to ""teach"" people whats real/fake and encourage ""pride"" of owing a real $10,xxx watch.they sacred"
536,ham,Can we get a link to buy one.?
537,ham,do they make Aquanaut too?
538,ham,So why should I not save myself 70 grant and even gain hacking seconds the gen doesn't even have?!
539,ham,Drop the link
540,ham,"I used to love fine time pieces but the prices just to crazy expensive now.  Just not worth the money to me when they change a couple of things and the time piece still looks the same.  The companies can charge what they want but it is crazy when you get this much detail from a clone.  The industry will suffer with the generation Z.  The smart watches from the big tech will hurt the industry.  I see it now.  I know a few people that put their Omega, Brietling and Rolex in the safe because of the smart watch."
541,ham,ar factory model for rolex.  mk factory for mode platek.   currently the best fake code if you want to buy
542,ham,I guess left is authentic
543,ham,save 59.500 and  buy the rep
544,ham,what happens when the replica is 99.9% the same?
545,ham,This just shows hoe overpriced watches unfortunately are
546,ham,why are those swiss watches even expensive anyways?
547,ham,Cant understand half the things you say.. Cant you talk good ol English?
548,ham,Viewers be like - I can’t even afford the fake one .. sic
549,ham,어후 내평생 저거살돈이 있으려나
550,ham,Where can we buy the replica from? Lol
551,ham,"If the differences between a 60.000 and a 500 euro watch are only somewhat noticeable under a microscope, it really makes you wonder about how much finishing and craftmanship matter to collectors and enthusiasts as they purport and how much the ""big dick"" and ""look at me peasant"" factors really come into watch pricing after all"
552,ham,By far best replica of 5711 ...what is price in India..where i can buy this in India
553,ham,Where was this from?
554,ham,It’s ridiculous how expensive is a piece of metal that only works to show up
555,ham,The PP Nautilus is overpriced and overrated. Imagine 60k Euros for a watch with an outsourced movement.
556,ham,I hope people making the replicas take notes and make it better lol
557,ham,Good video patex Philippe the best watches the world
558,ham,i mean if u are buying a watch like this ur going to go to an authrosed delear
559,ham,This is scary
560,ham,"Can anyone provide the link here,,,,as to where is this replica available?"
561,ham,"Counterfeit goods are very sophisticated, they have lost the value of a big brand"
562,ham,Just imagine what a 2.000$ Clone will get you. It’s crazy how good those fakes are getting
563,ham,não achei tanta diferença assim
564,ham,New and improved version of this watch is on the market now. The new versions have the same thickness as the original. Contact me if you want to know where to buy it
565,ham,Patek must nailed like hell
566,ham,Where can I get the cheaper one?
567,ham,rolex.poker and submariner.store only 2 trusted dealers
568,ham,Fake looks good enough to me. Where do I buy?
569,ham,I actually like the fake's shade of blue better.
570,ham,"Does anybody know where can I get one of those high-end replicas? 
I got $500 and I seriously doubt that I'll ever have $60,000 to blow on just ONE item."
571,ham,Sur quel site pouvons nous la trouver ?
572,ham,"8:50 I really doubt they would use plastic ""jewels"" in a $500 fake watch."
573,ham,Doesn't look any where near as good a Grand Seiko razor sharp polishing 😳
574,ham,The replica is good enough to impress your friends which is all you bought it for.
575,ham,Where can I get the replica??
576,ham,"Spotted the real one right away, and I'm definitely not a watch fanatic.  I'd still go with the fake at $500 over $60k, I like money.  OTOH, with no controls on China and their thievery the rest of the world is screwed, so I'd buy neither."
577,ham,"As the original watch, should be sold for no more than 10k, PP deserve that replica! Stop the hype on, indeed very beautiful watch, a steel watch with little complication and with a finishing comparable to a Seiko"
578,ham,Where can I get replica's?
579,ham,Can you tell us where to buy that replica? I mean so we can reprimand them for copying of course
580,ham,Am I the only one looking through the comments to find the link for the replica 😂
581,ham,Where can i get these replicas lol
582,ham,**CHINESE WATCH MAKERS TAKING NOTES !
583,ham,No body watch at close encounters
584,ham,"Either way, it's an ugly watch. Give me a Lange any day."
585,ham,A friend asked me. Where can he buy the replica? Share the link please. Lol
586,ham,I would buy replica any day !
587,spam,"That's  real worth  of original 500 e with profit of 200 ,all of them overpriced"
588,ham,"I'll buy the fake one. Coz even if I buy a real one, no one will agree its real."
589,ham,Right
590,ham,Хоть бы рубашку погладила.
591,ham,Where’s the best place to get a good replica
592,ham,i bet i can never tell the difference even if it is side by side
593,ham,"Anyone who would pay $60,000 for a watch deserves to get a $600 replica."
594,ham,"Whats interesting, they both look like $15 dollar watches from walmart.....One of the ugliest Pateks ever made."
595,ham,are best of the best rolex.poker and submariner.store
596,ham,"What if you were comparing a white face Nautilis? I am assuming that the difference would even be less noticeable. Let me know, thank you."
597,ham,ok stick to  my apple watch
598,ham,I never understood the love for the Nautilus. It's ugly as sin.
599,ham,"Minus the movement, this is a huge slap on the face for patek and all buyers. A fine movement and $100 worth of stainless steel should not cost $60k."
600,spam,Is the real one worth 60.000 Euros more? No...
601,ham,left authentic
602,ham,Well hmm.... where do I get that replica? lol
603,ham,Having a fake watch is as uncool as one of those 'replica' Ferrari or Lamborghini
604,ham,"Retail price is € 28.009,- incl. Tax. Not 60k"
605,ham,"Ladies and gentleman, this right here is an excellent example what branding is."
606,ham,So long story short real one should not cost 60.000
607,ham,Awesome video.
608,ham,"This is now, imagine in 10 years with quantum computing and 4D printing, nobody will be able to tell the difference between fake and real. The whole watch industry is in big trouble."
609,ham,Where can i buy the original one at a fake price...?😅
610,ham,How can buy one super clone where can get one?
611,ham,"$500 is too much, i purchase for $200 at timeofreplica"
612,ham,why do you spot a fake? is a good thing to monetized? :(
613,ham,"With the price point that this fetches I can see why this is faked. When secondary prices are higher than retail, and retail is marked up 1000%, it calls into question the business ethic of the brand."
614,spam,if you have a 500 euro buy a real Seiko
615,ham,Excellent video 👍👍👍 but please get your fingernails cleaned and manicured before your next video.
616,ham,Where can I buy the fake one?
617,ham,I have original casio
618,ham,I’m thinking “counterfeit” rather than “replica”.   A replica would state that it is a replica.   A counterfeit tries to pass it self off as the real thing and deceive those viewing it.
619,ham,I don’t see much wrong with replicas. I just see them as cheaper alternatives.
620,ham,I will buy a replica and save on magnifying glass.
621,ham,"The biggest tell is the dial, it's purple and is missing the gradient in the fake, it's stunning in the original."
622,ham,Replica....German pronunciation
623,ham,That clone is done so well they should of put their own name on it and a made their own flavor as a brand
624,ham,hi where did you get fake one? need that info please
625,spam,rolex.poker and submariner.store are only legit stores
626,ham,Where can you get the replica? I'm asking for a friend...
627,ham,"westworld：if you can't tell, does it matter"
628,ham,One of the ugliest watches ever made IMHO.
629,ham,Where do I buy this fake though? 🤔🤫🧐🤨😆
630,ham,"What if you had actually flipped the talk, rather than to tell it straight fwd, u instead had flipped whats fake to be genuine or vice versa, only what if tho. Aint no amateur starter gonna spot it aint it? Or lets say that the fake had gotten so far they overkilled it to the point that it is in fact better than the genuine one in terms of its cosmetics & craftmanship aspect. When compare to the genuine one, Could somebody spot out the real genuine one which suffers a slightly low quality in craftmanship to be the most real genuine one when all these time we tend to go with the build quality. I bet nobody can. This is worrying."
631,ham,You should be a idiot to buy a steel watch for 60k hahahahaha.
632,ham,SO LEFT OR RIGHT FOR THE FAKE ?
633,spam,"correction..They are not 500, they are 100 in Hong Kong.. or 80 in Guangzhou..."
634,ham,Replicas r good as they have same quality but r cheap in price thats good
635,ham,"It's all fun and games buying a gen for $70k. Until you want to sell it and it's only worth $35-40k. Meanwhile, the fake you bought for $500 is still worth $450. I'd rather have replica watches since gen's almost never retain their retail value. Watches are ridiculously marked up."
636,ham,Real 1 minute = 60 seconds.. fake 1 minute = 59 seconds :)
637,ham,"even if the fake was identical to the atom, you would subconsciously know ur wearing a fake. these items are given to oneself as a reward for achievement...fakes achieve nothing"
638,ham,Made of the same material can't tell the difference maybe Patek Philippe  is overpriced
639,ham,Not a beautiful watch
640,ham,"I will buy that replica anytime, so well made"
641,ham,Where do I buy the fake??!!
642,ham,"Fake watches make me throw up in my mouth. Peasants who knowingly buy them should be banned from civilised society. If my father ever saw me with a illegitimate watch, he would write me out of the family inheritance, remove rights to titles, and disown me. Shameful practice."
643,ham,rolex.poker and submariner.store only 2 trusted dealers
644,ham,I cound spot the replica in mins
645,spam,"Is rather spend 500.00 than 60,000"
646,ham,your right thumb nail may be a replica
647,ham,Shoulda put an affiliate link to the super clone
648,ham,Where can we buy .......... the replica ?
649,ham,i only buy on rolex.poker and submariner.store
650,ham,I bet you all the millionaires walking around with the replica on they wrist !!!
651,ham,Cute accent.
652,ham,"Replica, of course."
653,ham,this is a disgrace...I 'll buy an original Seiko or Orient or Vostok any day than paying same or double or even more money to buy a copy.
654,ham,WHERE CAN I GET ONE? NO BS PLEASE!
655,ham,4 minutes of this video was narrated by replica Jenni. Can you tell which was which?
656,ham,"If you’d of told me that £60,000 watch was worth £250 I’d of believed you..."
657,ham,so where did you buy that fake on 500 eu
658,ham,You should have topped off the video with smashing the fake into pieces...
659,ham,"as archie put it, patek is for snobs .. lol"
660,ham,waaaait a minute.....is this the new horology house? Is she selling fakes yet? lol
661,ham,"How shameless these people are, no respect for other’s work, just copy and steal. And as a consolation, give a virus to the world 😂"
662,ham,where can we buy the 500.00 pound one ?
663,ham,"Even if I am against fakes, I want to make a reflection. We have to admit that they are very good considering the means they have. I believe that if instead of 500 euros, you give them a budget of 1000 euros for each piece, they can do it perfectly the same. From here arises a question and a reflection for all of us: but how much do these brands earn on every single piece ???"
664,ham,Where can I buy the fake? Lol
665,ham,"No wrist watch check, hm...."
666,ham,It looks like you need a microscope to spot the difference.
667,ham,"why this imposter just make their own brand, with that skill maybe they can produce a good watch"
668,ham,Where can we buy this high end replica?
669,ham,"Wow these comments though...
If you want a great watch because you know the brand's history, and you like the way it looks, the way if feels, just buy it. You also understand that's it's for your own satisfaction, because trust me, it won't impress your friends, they won't get it."
670,ham,Whoever is holding this watch got to do something with the right hand thumb nail. To put in mildly it's not presentable and staring at it throughout the video is ...
671,ham,Buying such an expensive watch is not rational. except to prove to myself - I could.
672,spam,The hardest thing these days is when the reps are actually worth the 500 to 1000 euro price tag.
673,ham,I dont know what to think. That is unfair that they are replicating watches worth 60000$ that anyone can buy for 0.8% of the value or that Pateks customers are really being ripped off for spending 60000$. I would never buy the replica because a watch is something you buy for yourself and I see it as an insult to the industry
674,ham,What's with the regretful tone as if your mother owns Patek? Replicas are game changers. It's good for the consumers.
675,ham,i can't hear well this video... what's wrong.... raise the voice...
676,ham,Me what shocked me was the Richard mille's one
677,ham,"So many people missing the point of this review.. also the most easy to spot giveaway imo right off the bat is the regulator on the fake for adjusting the rate. The Patek movement has a breguet hairspring and timing screws to adjust the rate, as most truly high end movements do. I’ve seen this in Rolex fakes too."
678,ham,"#8 the crown, the fake one’s crown slightly protrudes more"
679,ham,I am not impressed. It looks like Seiko or citizen
680,ham,the fake puts the build quality of a lot of Swiss and Seiko watches to shame!
681,ham,german or dutch?
682,ham,"If the replica cost € 500, then the Genuine should not more than € 2000........for this comparison"
683,ham,"Pretty sure that the right one is fake… No, the left one !… No, the right one !…"
684,ham,"Heres the thing with the Nautilus retail price is 30k. Just like the Daytona there is a very long waiting list. Very limited stock and lots of rich people that hate hearing they ""cant"" get something they want. Hence the 2-3x over retail current market prices. As a WIS I dont like Patek very much anymore. They no longer receive Geneva seal's opting to give themselves their own seal. That's like getting a Tiffany & Co diamond with a Tiffany Certification instead of a GIA one. Or a self-proclaimed ""5 Star"" chef with no Michelin stars. With the introduction of their factory blinged-out nautilus that many rappers and ballplayers wear they become the new AP RO:O. Put your money on Vacheron guys, they are next. Once celebrities get bored of the Vintage Daytona and Patek's the next bubble will the VC."
685,ham,I'm not even a watch fanatic and it was very easy to spot the fake immediately... the finish of the metal gave it away
686,ham,Were can we buy one `Jennie u have a site?
687,ham,Shes kinda cute
688,ham,Looking forward for a fake spring drive movement........never going to happen.
689,ham,Rotor shape is different
690,ham,So basically nobody will ever be able to tell them apart unless you have a specialist with a a magnifying glass.. uh oh...
691,ham,Where can i buy that cheap stuff?
692,ham,i only buy on rolex.poker and submariner.store
693,ham,The replica balance isn't free sprung and has a regulator.
694,ham,this is not worth 50k... wtf
695,ham,These brands are looting people
696,ham,"why did people wear this reps, when you know the real price is not for ordinary people,
even if the reps price is make sense, how could you dare wearing the reps without people don't recognize"
697,ham,Where can I buy the replica
698,ham,Get a good Seiko.
699,ham,"If you have a pair of good eyes, you could spot all the minuscule imperfections quite easily."
700,ham,Where can i buy the fake?
701,ham,Okay so where do we buy the fake one??
702,ham,Where is the replica from ? Asking for a friend
703,ham,And the Nautilus is an ugly looking watch to start with ; $ 68 K for a steel watch ? You can buy an E Class Mercedes instead
704,ham,Are there any international laws to forbid the copying of intellectual property???
705,ham,Where to buy replica
706,ham,rolex.poker and submariner.store best for replica
707,ham,"seriously good/ bad replica , now they know to polish the hands the next gen will be even better / worse ."
708,ham,The quality/price ratio undoubtedly wins the fake
709,ham,"This pretty much sums up the problems with the modern watch market. The mark up is so obviously out of touch with the production cost that you are essentially buying status,. not a watch. This leaves tons of room for competitors to provide the same product at a lower cost."
710,ham,I’d honestly rather buy the replica. Sue me
711,ham,for the most part...i dont think i would feel sorry for someone who wanna spend 60k on a watch.
712,ham,Best is not to buy! Don’t like the style at all! Like to older style
713,ham,I guess the best way to be sure you don’t buy a replica is going to a well known dealer
714,ham,Karl Ess
715,ham,I'll buy replica even if I have 60000 to spend on watch
716,ham,Watch snobs are totally bonkers.
717,ham,Right is authentic
718,ham,The dumbest thing is that with maybe an extra $1000 of work would make these look impeccable
719,ham,So the true value of Patek is around 500 eur
720,ham,Jesus Murphy that is really good
721,ham,Have some a lot better made 18 kt gold hour markers on my authentic 6300 German Mark  Zenith el Primero Chronomaster Chronograph ...
722,ham,"If they put their own brand and properly market it, they would have made Patek a laughing stock"
723,ham,God dan this girl has manly hands
724,ham,"Something is wrong with you if you pay $60,000 watch with replicas that look like that"
725,ham,Hit me up if you need the real one OR the replica (wink)
726,ham,"If you like the watch, which I don't, go for the replica looks like a no brainier."
727,ham,"From the opening shot, it was clear the fake also didn't align well at the bracelet."
728,ham,Why would you want an Ugly watch in the first place smh
729,ham,How about the weight?
730,ham,Irritating way of speaking.
731,ham,it's easy to spot a fake when you have a real to compare.....come on.
732,ham,Why do you have said fake watch???
733,ham,Where from can I get this fake one?
734,ham,Dudes trying to sell get rich quick schemes and marketing scams on IG now know where to go to get a real looking Patek.
735,ham,"ok, know I know what parts should I keep refining with."
736,ham,The best fake watch commercial
737,ham,"ok so the differences are seen when magnified and they are worth the extra  $64,500 . The replica factories could make them exact and bump up the price $1000  bucks lol.  will the genuine makers match the replica's tiny short comings  and knock off $63,500?"
738,ham,"you telling me i can get basically the same thing for 59,500 euros less?"
739,ham,The companies behind the replicas should just come up with their own brand. They'd be great mid-level timepieces.
740,ham,I will get the fake one for $99.99. Where can I can it?
741,ham,will buy more rolex.poker and submariner.store
742,ham,i only trust them rolex.poker and submariner.store
743,ham,For now im wondring if how to know a real corona virus or  fake covid for now!!!😃
744,ham,Where did you get this watch ? It’s so interesting that they almost look the same. I’d like to get one to compare the difference with my real one.
745,ham,"Jenni, so where did you exactly buy the fake PP?  Can you give me the website? I got friends looking for high-quality PP replica and they've been asking me for it. Thanks :-D"
746,ham,So i guess you can say the biggest competitor for Patek Philippe is Patek Phillipe?
747,ham,The brushed stainless metal on the fake seems more course and inconsistent while the authentic has more of a finer brushed look and quality to it.
748,ham,I'm at 1:18 in and I think the watch on the right is the fake.  The crown looks rougher and sticks out more.
749,ham,"Link for the fake one, please , lol"
750,ham,"The balance pivot it's too shaky, not very promising."
751,ham,where can i buy the fake one. even though that is still over priced lol
752,ham,Where can I get the fake one ? Lol no way I pay 60k...
753,ham,where can you buy the fake ?
754,ham,"If your gonna wear a replica fine. But please wear a replica in your weight class, do not wear a fake watch worth 30x what your vehicle is worth😂"
755,ham,Guess I’ll get the fake 🤷🏾‍♂️ lol
756,ham,i only trust them rolex.poker and submariner.store
757,ham,"I’d like to compare this in person, I would like the link to the replica"
758,ham,I definitely don't get the appeal of the genta designs. The nautilus being the ugliest of them all
759,ham,"Can't understand the logic. The guys who did this clone did a great job, the watch is nicely finished. Why not create their own pieces and micro brands?"
760,ham,60000 euro mistake? The only mistake i would do is buying a 60000 euro watch in the first place..
761,ham,"If the left one is the fake, then I think they have improved upon the looks of the original. I like the way the crown is inset and the finish on the bezel around the dial."
762,ham,Where did you buy the fake one?
763,ham,Let
764,ham,Lets be honest the real one isn't really worth its ticket price...
765,ham,I've noticed that the seconds hand is longer on the fake.
766,ham,I have only  20 $  :/
767,ham,Poor Gerald Genta he should be crying with this...
768,ham,Left is authentic...
769,ham,Left is authentic
770,ham,"If the fake was clearly labeled as 'replica' I would have no problem wearing it, the quality is quite fine for 500 euros"
771,ham,Where did you get the replica?
772,ham,It's an ugly watch anyway and given the price difference you'd have to say the real thing is grossly over valued.
773,ham,I'm not quite two minutes in to the video and I'm very confidant that the watch on the right right is the fake.
774,ham,"1:10 The watch on the right is real. The speed of the movement gives it away. That is always the case on these replicas. No matter how good they get at copying the aesthetics, I’ve yet to see a replica with a 4Hz movement. 

You don’t need to look at anything except the second hand. Count the number of times it moves in a second (5 vs. 8). There you go: you can spot a fake in literally one second. "
775,ham,"I'd say left real, right fake. But it's very hard to tell. I'm guessing, honestly."
776,ham,So what do watch youtubers do with the fake  after making a video
777,ham,Puuuuu £500 u just got robed I got a £10 watch and it’s good
778,ham,If you are rich but dont want to spend 60k on a watch buy high end replica and noone going to think its fake
779,ham,Why copy such an ugly watch?
780,ham,The Crown gave it away immediately........ that’s it?? No need to make it more complicated.......
781,ham,where can you buy the fake?
782,ham,I like the fake. It’s good design at reasonable price. Most of what you pay for the original is not for the watch but for the status.
783,ham,I think she is warning us that those replicas will be sold for real price
784,ham,where can i buy these fakes?
785,ham,Yes we know your seamaster was a fakeroonie
786,ham,Whoever is making these replicas could be making more money buy just making their own watches
787,ham,"Authentic watch... free sprung balance...

Fake ass watch... regulated hairspring balance... 
Duuuhhhh...🤣🤣🤣🤣🤣✌🏼🇨🇦"
788,ham,I am more interested to see the box for the fake watch.
789,ham,"Yes, they are different. But not €59.500 different."
790,ham,"59400 euro for the brand name

600 for the watch"
791,ham,Fake on the right 👏
792,ham,Where can I buy the replica then? Any insta accounts or websites?
793,ham,patek so nice
794,ham,"Me agrada mucho tu video sobre relojes fake,es interesante escucharte"
795,ham,"I've got several Patek Philippe Nautilis watches. I bought a fake one to wear when walking through rough areas at night. Last Wednesday night I was robbed at knifepoint by a masked mugger in London. After he'd gone I pissed myself laughing so much I had to dispose of my fake Calvin Klein underpants, fake Supreme joggers and fake Gucci sneakers. I hope that Loser is watching this video!! 🤔"
796,ham,I've seen in in one second it's fake because the crown sticks out so the crown guard is useless
797,ham,"Thank you. I bought the superclone. original 5711 you can get secondhand at 60000 usd. New PPF V4 miyota 9015 superclone patek philippe... at 550 usd aka Superclone... with sapphire glass. ceramic closing, same 461L steel and even better because the ability to hack seconds. genuine doesn't allow this. with the other 59500 usd you can buy  some shares of Tesla or buy ground as investement. price of an 5711 is already blown up as investment dont you think. or can it rise to 120000k for a steel watch?"
798,ham,I guess 100x the price isn't really worth authenticity now is it...
799,ham,Impressive replica.
800,ham,best replicas are sold as originals
801,ham,nice toy
802,ham,"God made man, everything else is made in China."
803,ham,59.500 Euros for less than 1% better finishing.
804,ham,i only buy rolex.poker and submariner.store
805,ham,"How to identify the fakes, keep learning and train your eyes for attention to details. I noticed a lot of fakes being sold on Facebook too. Well done video. Keep it up!"
806,ham,"Imagine being given the fake for free. Would you then be prepared to pay £59,500 to have the finish improved? Cos that's what we're talking about..."
807,ham,"I mean... if anyone is cognizant of sheer concept of number, 500 and 60,000 is a world of difference, and i kinda dont see much difference between the real and fake one"
808,ham,Would easily buy the fake one
809,ham,free courses for companies that make fake watches.........(the solution is simpler that you buy from a large store of high quality watches that you will definitely not have a problem)
810,ham,There's one thing to say about Jenni's videos. There's absolutely no replicating them. Bravo!
811,ham,"Gee, xie xie. - Chinese replica manufacturers."
812,ham,The only people that can pull off a fake nautilus are those that can afford the real one...
813,ham,Its better to buy clone. 60k its crazy price for stupid people. And works the same looks the same if you like this design like this Watch. Nobody has microscope in eyes 🤣
814,ham,i will choose the fake it s the same and economise  59.5 k be smart
815,ham,"60 000 dollars watch, not worth it."
816,ham,Немного времени осталось до того как мы перестанем отличать фейк от оригинала
817,ham,So the main q everyone is asking is where do I purchase the replica
818,ham,We’re did she buy this fake from?
819,ham,I think this just goes to show you how ridiculously overpriced Patek Philippe is.
820,ham,"Even if perfect clone costs only 100 bucks , still i will not prefer taking it"
821,ham,"If it is that difficult to spot the fake, you are paying waaaaaaaaay to much for the original."
822,ham,If you need 1000x microscope to tell the difference that's close enough for me
823,ham,Jenne is getting better but I agree with other viewers....she would value from an introduction to a CNBC machine versus older watch component machines....virtually every if not every watch component is made by machine ....finishing is a whole different matter ( although you can make ANY watch into CHRONO grade).
824,ham,Original watch is blue or gray version?
825,ham,"I have found the fake one to pale in comparison to the real. in the way where the fake one is ugly. its too difficult for me to chose a watch where prices are too wild. also, timex seems just as cool but using a completely different approach to watches of course."
826,ham,at some point the fakes are going to be indistinguishable. I still want a real Patek but in the meantime if I could get a fake that tells time accurately why not?
827,ham,Replica must wins every time
828,ham,So the basically the Movement from Patek costs 59.500? Thats Pathetic
829,ham,Fake is an OK term. My problem is replica or clone. Counterfeit seems to be the term that captures the crime involved.
830,ham,"Me, just being honest. can i get that fake one?"
831,ham,Well i got to say not bad at all.
832,ham,"I assume everyone is wearing a fake ,up to i see what car they pull up in🤣..That way i will only wear a really good fake if I had a 6 figure car like a lamborghini or   mclaren 😏"
833,ham,does anybody have the page for the replica?
834,ham,Where u buy these one?
835,ham,Those fakes are getting too close.. Damn
836,ham,of course a 500 euro watch is well finished - do you really think that PF is charging you for a few hours of manual labour? the fact that china can turn out this fake for 500 euro tells you how much you're paying as a sucker tax for marketing and history
